stage,index,candidate,topology,score,elapsed_s,rationale,worst_return_db,worst_return_expr,worst_coupling_db,worst_coupling_expr,isolation_db,patch_side_mm,feed_offset_u_mm,feed_offset_a_mm,feed_offset_b_mm,port_width_mm,feed_pad_radius_mm,isolation_slot_length_mm,isolation_slot_width_mm,microstrip_feed_enabled,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_stub_length_mm,microstrip_stub_width_mm,microstrip_stub_offset_mm,neutralization_branch_enabled,neutralization_branch_width_mm,neutralization_branch_offset_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm,hybrid_output_match_length_mm,hybrid_output_match_width_mm
sparam,1,dualfeed_probe_reference_3p3,dualfeed,25.613526487387656,120.8,上一轮最佳探针/焊盘双馈结果，作为本轮真实馈电网络对照。,-8.574199254636817,"dB(S(P3A:1,P3A:1))",-12.442401434142138,"dB(S(P1B:1,P1A:1))",12.442401434142138,9.15,3.3,,,0.7,0.42,10.0,0.42,0.0,2.0,0.6,0.85,0.42,0.0,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,,
sparam,2,dualfeed_edge_match_l1p8_w0p55,dualfeed,69.02580663318113,96.8,把双馈端口升级为边缘微带馈线，采用较短匹配段以改善端口回波。,-6.409734394701743,"dB(S(P4B:1,P4B:1))",-10.463637323427575,"dB(S(P1A:1,P1B:1))",10.463637323427575,9.15,3.3,,,0.55,0.42,10.0,0.42,1.0,1.8,0.55,0.7,0.38,0.0,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,0.7,0.38
sparam,3,dualfeed_edge_match_l2p1_w0p65,dualfeed,67.59860831777281,100.5,扫描更长、更宽的可调微带馈线，检查输入阻抗向 50 欧姆移动的趋势。,-6.477287477472288,"dB(S(P1B:1,P1B:1))",-10.543469262920414,"dB(S(P1B:1,P1A:1))",10.543469262920414,9.15,3.3,,,0.65,0.42,10.0,0.42,1.0,2.1,0.65,0.95,0.44,0.0,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,0.95,0.44
sparam,4,dualfeed_edge_stub_0p75,dualfeed,67.34897098719512,101.4,在边缘微带馈线上加入短开路支节，用支节电纳补偿端口匹配。,-6.535439883201875,"dB(S(P4B:1,P4B:1))",-10.36745373207353,"dB(S(P1B:1,P1A:1))",10.36745373207353,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,1.95,0.6,0.85,0.42,0.75,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,0.85,0.42
sparam,5,dualfeed_edge_stub_1p10,dualfeed,63.44101584983659,99.7,延长开路匹配支节，观察支节电纳增强后的 Sii 与隔离变化。,-6.764438643127298,"dB(S(P2B:1,P2B:1))",-10.40554760071893,"dB(S(P4A:1,P4B:1))",10.40554760071893,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,1.95,0.6,0.85,0.42,1.1,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,0.85,0.42
sparam,6,dualfeed_branch_w0p16_o0p85,dualfeed,129.55267354279223,98.1,在 A/B 双馈端口之间加入高阻微带隔离枝节，尝试抵消同贴片双端口耦合。,-3.7496832655356034,"dB(S(P1A:1,P1A:1))",-6.238130225605967,"dB(S(P2B:1,P2A:1))",6.238130225605967,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,1.85,0.58,0.8,0.4,0.0,0.24,0.75,1.0,0.16,0.85,0.0,4.8,0.28,1.15,0.8,0.4
sparam,7,dualfeed_branch_dgs_len4p4,dualfeed,133.83844422581797,103.2,组合端口间微带隔离枝节与局部缺陷地槽，同时压制近场耦合和地电流绕射。,-3.36283206515448,"dB(S(P3A:1,P3A:1))",-6.752777476412146,"dB(S(P2B:1,P2A:1))",6.752777476412146,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,1.85,0.58,0.8,0.4,0.0,0.24,0.75,1.0,0.16,0.85,1.0,4.4,0.24,1.05,0.8,0.4
sparam,8,dualfeed_patch9p45_branch_dgs,dualfeed,144.82177946652033,103.6,在真实微带隔离结构上略增大贴片边长，补偿边缘馈电带来的谐振上移。,-2.0439759167242038,"dB(S(P2A:1,P2A:1))",-9.414253874800687,"dB(S(P3A:1,P3B:1))",9.414253874800687,9.45,3.35,,,0.58,0.42,10.0,0.42,1.0,1.75,0.58,0.75,0.4,0.0,0.24,0.75,1.0,0.16,0.8,1.0,4.2,0.24,1.0,0.75,0.4
sparam,9,hybrid_output_match_l1p8,hybrid,68.41653850865478,99.2,90 度混合器输出端改为可调微带匹配段，输出段宽度独立于端口宽度。,-6.450837622475501,"dB(S(P4A:1,P4A:1))",-10.447431120686746,"dB(S(P2A:1,P2B:1))",10.447431120686746,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,1.8,0.58,0.75,0.4,0.0,0.24,0.75,0.0,0.18,1.15,0.0,4.8,0.28,1.15,0.95,0.36
sparam,10,hybrid_output_stub_branch,hybrid,124.3238089724015,103.4,在混合器输出匹配段上加入开路支节和 A/B 端口间隔离枝节，兼顾幅相平衡与隔离。,-3.930748747367638,"dB(S(P3A:1,P3A:1))",-6.802977892692308,"dB(S(P4A:1,P4B:1))",6.802977892692308,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,1.85,0.58,0.75,0.4,0.65,0.24,0.75,1.0,0.14,0.8,0.0,4.8,0.28,1.15,0.95,0.34
