index,candidate,elapsed_s,rationale,worst_return_db,isolation_db,worst_return_expr,worst_coupling_expr,x_return_worst_db,y_return_worst_db,xy_return_balance_db,same_element_xy_isolation_db,same_feed_inter_element_isolation_db,patch_side_mm,port_width_mm,dualpol_slotcoupled_enabled,feed_substrate_h_mm,slot_coupled_aperture_length_a_mm,slot_coupled_aperture_length_b_mm,slot_coupled_aperture_width_mm,slot_coupled_offset_a_mm,slot_coupled_offset_b_mm,slot_coupled_aperture_center_a_v_mm,slot_coupled_aperture_center_b_u_mm,slot_coupled_feedline_length_mm,slot_coupled_feedline_width_mm,slot_coupled_feedline_offset_a_v_mm,slot_coupled_feedline_offset_b_u_mm,dualpol_parasitic_enabled,parasitic_side_mm,air_gap_mm,isolation_slot_enabled,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,score,slot_coupled_stub_enabled,slot_coupled_stub_length_mm,slot_coupled_stub_width_mm,slot_coupled_stub_offset_mm,slot_coupled_stub_side_sign,slot_coupled_stub2_enabled,slot_coupled_stub2_length_mm,slot_coupled_stub2_width_mm,slot_coupled_stub2_offset_mm,slot_coupled_stub2_side_sign,slot_coupled_step_enabled,slot_coupled_step_length_mm,slot_coupled_step_width_mm,slot_coupled_b_feed_layer_offset_mm,slot_coupled_bridge_enabled,slot_coupled_bridge_gap_mm,slot_coupled_bridge_offset_mm,slot_coupled_bridge_width_mm
1,p9p35_l4p4_w0p55_fw0p65_ref,74.367437,上一轮 S 参数筛选中孔缝耦合回波最好的参考候选。,-2.289091,1.374918,"dB(S(P3A:1,P3A:1))","dB(S(P2A:1,P2B:1))",-2.289091,-2.302057,0.012966,1.374918,38.804452,9.350000,0.500000,1.000000,0.254000,4.400000,4.400000,0.550000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.447568,,,,,,,,,,,,,,,,,,
2,p9p15_l4p0_w0p50_fw0p60,71.166388,缩小贴片把匹配谷往高频移动，保持中等孔缝耦合。,-2.063453,1.315599,"dB(S(P4B:1,P4B:1))","dB(S(P2A:1,P2B:1))",-2.078435,-2.063453,0.014982,1.315599,38.629552,9.150000,0.500000,1.000000,0.254000,4.000000,4.000000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,82.737632,,,,,,,,,,,,,,,,,,
3,p9p15_l4p4_w0p55_fw0p65,66.242619,缩小贴片并沿用上一轮最佳孔缝尺寸，检查高频端 S11。,-2.274950,2.433729,"dB(S(P4B:1,P4B:1))","dB(S(P3B:1,P3A:1))",-2.292940,-2.274950,0.017989,2.433729,43.014907,9.150000,0.500000,1.000000,0.254000,4.400000,4.400000,0.550000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,80.069611,,,,,,,,,,,,,,,,,,
4,p8p95_l3p8_w0p50_fw0p60,71.555181,进一步缩小贴片，略减孔缝长度，避免高频端过强失配。,-1.804448,2.005425,"dB(S(P2B:1,P2B:1))","dB(S(P3B:1,P3A:1))",-1.814925,-1.804448,0.010477,2.005425,39.177941,8.950000,0.500000,1.000000,0.254000,3.800000,3.800000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,84.973759,,,,,,,,,,,,,,,,,,
5,p8p95_l4p2_w0p55_fw0p65,84.229340,较小贴片配较强中心孔缝，寻找 8.233 GHz 回波改善点。,-2.311992,2.397291,"dB(S(P2B:1,P2B:1))","dB(S(P1A:1,P1B:1))",-2.329072,-2.311992,0.017080,2.397291,40.220638,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.550000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,79.715590,,,,,,,,,,,,,,,,,,
6,p8p75_l3p6_w0p45_fw0p60,68.226777,显著缩小贴片，回到原始中等孔缝，优先拉高谐振频率。,-0.696223,2.062821,"dB(S(P1B:1,P1B:1))","dB(S(P1B:1,P1A:1))",-0.739153,-0.696223,0.042930,2.062821,40.460948,8.750000,0.500000,1.000000,0.254000,3.600000,3.600000,0.450000,0.000000,0.000000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,96.092224,,,,,,,,,,,,,,,,,,
7,p8p75_l4p0_w0p50_fw0p65,69.216213,小贴片配中强孔缝，观察带内三点最差回波能否继续下降。,-1.881848,3.673682,"dB(S(P4B:1,P4B:1))","dB(S(P1A:1,P1B:1))",-1.939036,-1.881848,0.057188,3.673682,39.624434,8.750000,0.500000,1.000000,0.254000,4.000000,4.000000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,83.459054,,,,,,,,,,,,,,,,,,
8,p8p55_l3p4_w0p45_fw0p55,70.200988,更高频谐振试探候选，用较弱孔缝避免过耦合。,-1.034939,3.078593,"dB(S(P3A:1,P3A:1))","dB(S(P2A:1,P2B:1))",-1.034939,-1.171013,0.136074,3.078593,36.217484,8.550000,0.500000,1.000000,0.254000,3.400000,3.400000,0.450000,0.000000,0.000000,0.000000,0.000000,10.000000,0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,92.383465,,,,,,,,,,,,,,,,,,
9,p8p55_l3p8_w0p50_fw0p60,68.253036,更小贴片配中等孔缝，检查高频端改善是否牺牲低频端。,-1.836015,2.119748,"dB(S(P1A:1,P1A:1))","dB(S(P4B:1,P4A:1))",-1.836015,-1.850755,0.014740,2.119748,36.597900,8.550000,0.500000,1.000000,0.254000,3.800000,3.800000,0.500000,0.000000,0.000000,0.000000,0.000000,10.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,84.609453,,,,,,,,,,,,,,,,,,
10,p8p95_l4p2_w0p55_fw0p65_len8,72.237878,在较小贴片最佳附近缩短下层馈线，改变开路支节等效电抗。,-0.461077,21.070274,"dB(S(P1A:1,P1A:1))","dB(S(P2A:1,P2B:1))",-0.461077,-0.524986,0.063909,21.070274,33.701815,8.950000,0.500000,1.000000,0.254000,4.200000,4.200000,0.550000,0.000000,0.000000,0.000000,0.000000,8.000000,0.650000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,10.000000,0.420000,3.200000,95.517050,,,,,,,,,,,,,,,,,,
